x_t0,y_t0,z_t0,x_next,y_next,z_next
-2.8844168502939813,-4.564318320938649,14.722566263917205,-3.156193941911654,-5.10166079442418,14.35948370120931
-3.156193941911654,-5.10166079442418,14.35948370120931,-3.4696837182027145,-5.706020800147841,14.0592657093265
-3.4696837182027145,-5.706020800147841,14.0592657093265,-3.8289438152711646,-6.3848061566078185,13.832004211106693
-3.8289438152711646,-6.3848061566078185,13.832004211106693,-4.238476955858089,-7.145035421926439,13.690541471712496
-4.238476955858089,-7.145035421926439,13.690541471712496,-4.703071733922338,-7.992691818604898,13.651014917742522
-4.703071733922338,-7.992691818604898,13.651014917742522,-5.227553458757132,-8.931751830190354,13.733400768412247
-5.227553458757132,-8.931751830190354,13.733400768412247,-5.816404835958524,-9.962782792023932,13.961960956266623
-5.816404835958524,-9.962782792023932,13.961960956266623,-6.473206740179742,-11.081001607384342,14.365424821200195
-6.473206740179742,-11.081001607384342,14.365424821200195,-7.199842861343535,-12.273716920743125,14.976633444420093
-7.199842861343535,-12.273716920743125,14.976633444420093,-7.995414748347715,-13.517170926488243,15.83124408045032
-7.995414748347715,-13.517170926488243,15.83124408045032,-8.85483632149322,-14.772998182309285,16.964960396868847
-8.85483632149322,-14.772998182309285,16.964960396868847,-9.767134860717345,-15.984873270742222,18.40868810527872
-9.767134860717345,-15.984873270742222,18.40868810527872,-10.713596992966623,-17.076442165417532,20.181144474627686
-10.713596992966623,-17.076442165417532,20.181144474627686,-11.666075035842656,-17.95224017675112,22.278965797226707
-11.666075035842656,-17.95224017675112,22.278965797226707,-12.585996874661463,-18.503714045085704,24.665444962033952
-12.585996874661463,-18.503714045085704,24.665444962033952,-13.424832188666846,-18.6221570804578,27.260680183602652
-13.424832188666846,-18.6221570804578,27.260680183602652,-14.126814445173427,-18.21869372474493,29.93761296944088
-14.126814445173427,-18.21869372474493,29.93761296944088,-14.6344083236343,-17.24817877051234,32.52897137213219
-14.6344083236343,-17.24817877051234,32.52897137213219,-14.896223551434446,-15.729965996988753,34.848003584892936
-14.896223551434446,-15.729965996988753,34.848003584892936,-14.87594812245466,-13.75642140643489,36.720576239031374
-14.87594812245466,-13.75642140643489,36.720576239031374,-14.559915992772522,-11.482549782235385,38.0197128172219
-14.559915992772522,-11.482549782235385,38.0197128172219,-13.960816660065747,-9.097484316761566,38.69022007201182
-13.960816660065747,-9.097484316761566,38.69022007201182,-13.116134017492048,-6.787089538176568,38.754108973357766
-13.116134017492048,-6.787089538176568,38.754108973357766,-12.081751634675188,-4.700912844995997,38.29598879376796
-12.081751634675188,-4.700912844995997,38.29598879376796,-10.922796333122243,-2.9335453674879943,37.43610521179566
-10.922796333122243,-2.9335453674879943,37.43610521179566,-9.704381372027234,-1.5228213329400442,36.302049207916745
-9.704381372027234,-1.5228213329400442,36.302049207916745,-8.484354424318944,-0.4604628361251414,35.00759006731899
-8.484354424318944,-0.4604628361251414,35.00759006731899,-7.3090039324022635,0.29192285229022835,33.64174141085165
-7.3090039324022635,0.29192285229022835,33.64174141085165,-6.211604951376404,0.7874365012678191,32.26669226777271
-6.211604951376404,0.7874365012678191,32.26669226777271,-5.213067437626851,1.0822275397414494,30.92124180011835
-5.213067437626851,1.0822275397414494,30.92124180011835,-4.323800496726719,1.2282571712722938,29.626476532758648
-4.323800496726719,1.2282571712722938,29.626476532758648,-3.5460489966833544,1.2697539626199685,28.391489942580687
-3.5460489966833544,1.2697539626199685,28.391489942580687,-2.8762047372440382,1.2421905617302933,27.218068224255777
-2.8762047372440382,1.2421905617302933,27.218068224255777,-2.3068233612163347,1.1727165162009798,26.104056836507976
-2.3068233612163347,1.1727165162009798,26.104056836507976,-1.828243559832308,1.0812800923219685,25.045540485248196
-1.828243559832308,1.0812800923219685,25.045540485248196,-1.4298048458039663,0.9819651793520526,24.03812061060606
-1.4298048458039663,0.9819651793520526,24.03812061060606,-1.1007101762446019,0.8842875061276921,23.077579533271724
-1.1007101762446019,0.8842875061276921,23.077579533271724,-0.8305981498642102,0.7943334122225312,22.160165138462045
-0.8305981498642102,0.7943334122225312,22.160165138462045,-0.6098905391677725,0.7157035491233339,21.282662321832955
-0.6098905391677725,0.7157035491233339,21.282662321832955,-0.4299737586684718,0.6502644650792031,20.442358631704494
-0.4299737586684718,0.6502644650792031,20.442358631704494,-0.2832628021453881,0.5987292426112693,19.636967831896573
-0.2832628021453881,0.5987292426112693,19.636967831896573,-0.1631859255307604,0.5610945936285145,18.864545747825737
-0.1631859255307604,0.5610945936285145,18.864545747825737,-0.06411913261481661,0.5369620883007207,18.123414604583246
-0.06411913261481661,0.5369620883007207,18.123414604583246,0.018708231308016483,0.5257687546623687,17.41210173286773
0.018708231308016483,0.5257687546623687,17.41210173286773,0.08932171741871457,0.5269488173475029,16.729293206765796
0.08932171741871457,0.5269488173475029,16.729293206765796,0.15111365336617316,0.540044686064243,16.073800655964966
0.15111365336617316,0.540044686064243,16.073800655964966,0.20695217022474732,0.5647818635950638,15.444538817274033
0.20695217022474732,0.5647818635950638,15.444538817274033,0.2592836087346613,0.6011194025320256,14.840511527947235
0.2592836087346613,0.6011194025320256,14.840511527947235,0.31022649365774396,0.6492849657249601,14.260804344743192
0.31022649365774396,0.6492849657249601,14.260804344743192,0.3616566238016001,0.7098014400428243,13.704582554769086
0.3616566238016001,0.7098014400428243,13.704582554769086,0.4152837328874733,0.7835103837194646,13.171093920848845
0.4152837328874733,0.7835103837194646,13.171093920848845,0.47272075301169775,0.8715963025117919,12.65967604676814
0.47272075301169775,0.8715963025117919,12.65967604676814,0.5355470533887953,0.975614788065835,12.169768769117939
0.5355470533887953,0.975614788065835,12.169768769117939,0.6053672056417709,1.097526847969891,11.700932517045999
0.6053672056417709,1.097526847969891,11.700932517045999,0.68386689689721,1.2397412438138777,11.252874175894254
0.68386689689721,1.2397412438138777,11.252874175894254,0.7728676100639919,1.4051662600870376,10.825482701491365
0.7728676100639919,1.4051662600870376,10.825482701491365,0.8743816381458996,1.5972719741065844,10.41887762488596
0.8743816381458996,1.5972719741065844,10.41887762488596,0.9906689023336852,1.8201636888517119,10.03347474069715
0.9906689023336852,1.8201636888517119,10.03347474069715,1.1242968918633127,2.078666599287396,9.67007477912651
1.1242968918633127,2.078666599287396,9.67007477912651,1.2782048070287917,2.3784208069796757,9.329982830087985
1.2782048070287917,2.3784208069796757,9.329982830087985,1.4557726086354568,2.725984210197741,9.015168836920473
1.4557726086354568,2.725984210197741,9.015168836920473,1.6608950621418979,3.1289381734064454,8.728482719795881
1.6608950621418979,3.1289381734064454,8.728482719795881,1.8980598610331834,3.5959866118678265,8.473941694178137
1.8980598610331834,3.5959866118678265,8.473941694178137,2.1724272852025064,4.1370322996370685,8.257112058020088
2.1724272852025064,4.1370322996370685,8.257112058020088,2.489906236756521,4.7632034786280615,8.085612781964508
2.489906236756521,4.7632034786280615,8.085612781964508,2.8572173612809424,5.486787296392176,7.969772697486881
2.8572173612809424,5.486787296392176,7.969772697486881,3.2819275313031384,6.321001640919479,7.923474833095951
3.2819275313031384,6.321001640919479,7.923474833095951,3.7724301659129713,7.279500384963291,7.965216291457233
